Name;GROUP;subgroup1;subgroup2
POTATOES_TUB_01;1;;
POTATOES_0101;1;1;
VEGETABLES_02;2;;
LEAFYVEG_0201;2;1;
FRUITINGVEG_0202;2;2;
ROOTVEG_0203;2;3;
CABBAGE_0204;2;4;
MUSHROOMS_0205;2;5;
GRAINPODVEG_0206;2;6;
ONION_GARLIC_0207;2;7;
STALKVEG_0208;2;8;
MIXEDVEG_0209;2;9;
LEGUMES_TOT_03;3;;
LEGUMES_0301;3;1;
FRUITS_TOT_04;4;;
FRUITS_0401;4;1;
NUTS_SEEDS_0402;4;2;
MIXEDFRUITS_0403;4;3;
DAIRY_05;5;;
MILK_0501;5;1;
MILKBEV_0502;5;2;
YOGURT_0503;5;3;
CURD_0504;5;4;
CHEESE_0505;5;5;
DAIRYDESSERT_0506;5;6;
CREAM_PROD_0507;5;7;
DAIRYCREAM_050701;5;7;1
MILK_FOR_COFFEE_0508;5;8;
CEREAL_PROD_06;6;;
FLOUR_FLAKES_0601;6;1;
PASTA_RICE_0602;6;2;
BREAD_PROD_0603;6;3;
BREAD_060301;6;3;1
CRISPBREAD_060302;6;3;2
BREAKF_CEREALS_0604;6;4;
SALT_BISCUIT_0605;6;5;
DOUGH_PASTRY_0606;6;6;
MEAT_PROD_07;7;;
RED_MEAT_0701;7;1;
BEEF_070101;7;1;1
VEAL_070102;7;1;2
PORK_070103;7;1;3
MUTTON_LAMB_070104;7;1;4
POULTRY_0702;7;2;
OTHERPOULTRY_070200;7;2;0
CHICKEN_070201;7;2;1
RABBIT_070205;7;2;5
PROCMEAT_0704;7;4;
OFFALS_0705;7;5;
FISH_SHELLFISH_08;8;;
FISH_0801;8;1;
FISH_PROD_0803;8;3;
EGG_PROD_09;9;;
EGGS_0901;9;1;
FAT_10;10;;
VEGOILS_1001;10;1;
BUTTER_1002;10;2;
MARGARINE_1003;10;3;
FRYFAT_1004;10;4;
OTHER_ANIMALFAT_1006;10;6;
SUGAR_CONFECT_11;11;;
HONEY_JAM_1101;11;1;
CHOCOLATE_1102;11;2;
NONCHOC_SWEETS_1103;11;3;
ICECREAM_1105;11;5;
ICECREAM_MILK_110501;11;5;1
CAKES_12;12;;
VARPASTRY_1201;12;1;
DRYCAKE_1202;12;2;
NONALC_BEV_13;13;;
FRUITVEG_JUICE_1301;13;1;
SOFTDRINKS_1302;13;2;
HOTDRINKS_1303;13;3;
COFFEE_130301;13;3;1
TEA_130302;13;3;2
HERBALTEA_130303;13;3;3
COFFEE_IMITATE_130304;13;3;4
WATER_1304;13;4;
ALC_BEV_14;14;;
WINE_1401;14;1;
FORTWINE_1402;14;2;
BEER_1403;14;3;
SPIRITS_1404;14;4;
HERBLIQUEUR_1405;14;5;
LIQUEURS_1406;14;6;
CONDIMENT_SAUCES_15;15;;
SAUCES_1501;15;1;
TOMATOSAUCE_150101;15;1;1
DRESSINGS_150102;15;1;2
MAYONNAISE_150103;15;1;3
HERBS_SPICES_1503;15;3;
CONDIMENTS_1504;15;4;
SOUP_BOUILLON_16;16;;
SOUP_1601;16;1;
BOUILLON_1602;16;2;
MISCELLANEOUS_17;17;;
VEG_DISHES_1700;17;0;
SOY_PROD_1701;17;1;
DIET_PROD_1702;17;2;
ART_SWEETENER_170201;17;2;1
